ผลคะแนนการเลือกตั้งสมาชิกสภาวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3
วันที่ 30 มีนาคม 2557,,,
,,,
จังหวัด,ชื่อผู้สมัคร,หมายเลข,คะแนน
กรุงเทพมหานคร,พลตำรวจตรีสุพิศาล ภักดีนฤนาถ,1,"267,974"
กรุงเทพมหานคร,นายศรีสุวรรณ จรรยา,2,"37,583"
กรุงเทพมหานคร,นางลีนา จังจรรจา,3,"38,420"
กรุงเทพมหานคร,ว่าที่ พันตรีอาชว์ โครงกาพย์,4,"4,407"
กรุงเทพมหานคร,นายอรุณ คนหลัก,5,"3,132"
กรุงเทพมหานคร,นางสาวปิยะสุดา แพ่งสภา,6,"17,767"
กรุงเทพมหานคร,นางตรีรัตน์ เซ่งไพเราะ,7,"26,290"
กรุงเทพมหานคร,คุณหญิงจารุวรรณ เมณฑกา,8,"552,651"
กรุงเทพมหานคร,นายโฆสิต สุวินิจจิต,9,"79,759"
กรุงเทพมหานคร,นายปิยชาติ วีรเดชะ,10,"9,062"
กรุงเทพมหานคร,นายมงคล ประสาทเสรี,11,"1,048"
กรุงเทพมหานคร,นายกรสัณห์ กันยะพงศ์,12,"2,015"
กรุงเทพมหานคร,นางพรทิพย์ ลยานันท์,13,"2,871"
กรุงเทพมหานคร,นายมงคล กิมสูนจันทร์,14,"17,010"
กรุงเทพมหานคร,นายพรชัย รัศมีแพทย์,15,"8,436"
กรุงเทพมหานคร,นายชาญชัย โกศลธนากุล,16,"2,954"
กรุงเทพมหานคร,นายประทีป พุทธรักษ์ภักดี,17,979
กรุงเทพมหานคร,นายวิทยา จังกอบพัฒนา,18,"2,471"
กระบี่,นายอภิชาติ ดำดี,1,"76,391"
กระบี่,นายสมเกียรติ กิจธรรมเชษฐ์,2,"15,580"
กระบี่,นายอดิเรก เอ่งฉ้วน,4,909
กระบี่,นายแสงชัย วสุนธรา,5,"27,928"
กระบี่,นายชำนาญวิทย์ บางทอง,6,"1,837"
กระบี่,นายวิรัช สีหมุ่น,7,"13,417"
กาญจนบุรี,พลเอกองอาจ พงษ์ศักดิ์,1,"65,085"
กาญจนบุรี,นายเสนาะ ศิลาแรง,2,"9,396"
กาญจนบุรี,นางมนรัตน์ สารภาพ,3,"43,463"
กาญจนบุรี,นายศรชัย พวงลำเจียก,4,"26,686"
กาญจนบุรี,นายมานพ อินทะบุตร,5,"2,769"
กาญจนบุรี,นายวิมล พนมศักดิ์,6,"7,138"
กาฬสินธุ์,นายวิรัช พิมพะนิตย์,1,"151,466"
กาฬสินธุ์,นายวิวรรธนไชย ณ กาฬสินธุ์,3,"84,460"
กาฬสินธุ์,นายแพน พรไตรศักดิ์,4,"124,391"
กาฬสินธุ์,นายทิวา แจ้งสุข,5,"6,319"
กำแพงเพชร,นายจุลพันธ์ ทับทิม,1,"118,988"
กำแพงเพชร,นายอุดม วราหะ,2,"10,571"
กำแพงเพชร,นายธนทัต ประเสริฐนู,3,"13,764"
กำแพงเพชร,นายออมสิน สุขภิการนนท์,4,"36,852"
กำแพงเพชร,นายพเยาว์ เมฆพินธุ์,5,"3,020"
ขอนแก่น,นายวัน สุวรรณพงษ์,1,"324,862"
ขอนแก่น,นายโกเมศ ฑีฆธนานนท์,2,"93,357"
ขอนแก่น,นายฐิตินันท์ แสงนาค,3,"21,789"
ขอนแก่น,นายศุภสิธ เตชะตานลท์,4,"69,698"
ขอนแก่น,นายสุธน สอนคำแก้ว,5,"25,661"
ขอนแก่น,นายสุวิทย์ นามบุญเรือง,6,"5,625"
ขอนแก่น,นายประเสริฐ สัจจาวิริยะ,7,"15,889"
จันทบุรี,นางพจนา กิจกาญจน์,2,"69,950"
จันทบุรี,นายสันติ พลอยล้อมเพชร,3,"15,665"
ฉะเชิงเทรา,นายสุนันต์ อรุณนพรัตน์,1,"70,750"
ฉะเชิงเทรา,นายสุเชน ทั่วทิพย์,2,"31,606"
ฉะเชิงเทรา,นายเชาวลิต เจริญพร,3,"44,692"
ชลบุรี,นายแสงศร สุนทรศิลป์ชัย,1,"12,460"
ชลบุรี,นายสุรสิทธิ์ นิธิวุฒิวรรักษ์,2,"92,058"
ชลบุรี,นายกำพล ตั้งเอกชัย,3,"7,917"
ชลบุรี,นายสมชาย พัฒนะเอนก,4,"42,623"
ชลบุรี,พลตำรวจตรีบัณฑิต คุณจักร์,5,"26,942"
ชลบุรี,นายวิชัย จุลวนิชย์พงษ์,6,"12,802"
ชัยนาท,นางสาววรรณอนงค์ ทรัพย์รวงทอง,1,"24,507"
ชัยนาท,นายมณเฑียร สงฆ์ประชา,2,"64,171"
ชัยนาท,นายจำลอง โพธิ์สุข,4,"33,482"
ชัยนาท,นางจิณาภา ทรัพย์วิสุทธิ์,5,"6,348"
ชัยภูมิ,พลตำรวจโทสุกิจ อุดมเศรษฐ์,2,"23,241"
ชัยภูมิ,นายอุปกรณ์ วงศ์นรา,3,"8,206"
ชัยภูมิ,พันตำรวจโท วรินทร์ สวัสดิ์โรจน์,4,"10,063"
ชัยภูมิ,นายบัณฑูรย์ เกียรติก้องชูชัย,5,"243,699"
ชัยภูมิ,นางลัดดา วงศ์ใหญ่,6,"50,776"
ชัยภูมิ,นายสมมิตร รื่นรวย,7,"9,917"
ชุมพร,พันตำรวจเอก นรินทร์ บุษยวิทย์,1,"75,248"
ชุมพร,นางสาววรรณา แซ่ติ้ง,2,"2,021"
ชุมพร,นายสุทรรศ พะลัง,3,"11,150"
ชุมพร,นายพงศา ชูแนม,4,"26,690"
ชุมพร,พันตำรวจเอก เอกวัฒน์ โพธิ์เย็นญาติ,5,"1,113"
ชุมพร,นายสัญญา ปานสวี,6,"1,804"
เชียงราย,นางเตือนใจ ดีเทศน์,1,"72,588"
เชียงราย,นายปรีชา พัวนุกุลนนท์,2,"76,393"
เชียงราย,นายมงคลชัย ดวงแสงทอง,3,"169,251"
เชียงราย,นายศักดิ์ชัย จงสุขธนามณี,4,"79,055"
เชียงราย,นางสาวพนิดา มะโนธรรม,5,"6,827"
เชียงราย,นายประสิทธิ์ บุญยืน,6,"5,249"
เชียงใหม่,นายสมพงศ์ ค่ายคำ,1,"34,628"
เชียงใหม่,นายเพทาย เตโชฬาร,2,"42,426"
เชียงใหม่,นายอดิศร กำเนิดศิริ,3,"178,175"
เชียงใหม่,นายชำนาญ จันทร์เรือง,4,"8,081"
เชียงใหม่,นายพงศ์พันธุ์ ไชยวัณณ์,5,"19,080"
เชียงใหม่,นายถาวร เกียรติไชยากร,6,"91,002"
เชียงใหม่,นายกฤษณพงษ์ พรมบึงรำ,7,"120,932"
เชียงใหม่,นายพรศักดิ์ สังข์สังวาลย์,8,"17,765"
เชียงใหม่,นายอภิวัฒน์ คุณารักษ์,9,"19,102"
เชียงใหม่,ร้อยตำรวจตรีสมพล เกษมมาลา,10,"4,492"
เชียงใหม่,นายสัมพันธ์ ฉัตรมงคงพันธ์,11,"1,982"
เชียงใหม่,นายวชิระ เรืองพรวิสุทธิ์,12,"3,462"
เชียงใหม่,นายบุญทา ชัยเลิศ,13,"26,606"
ตรัง,นายสมศักดิ์ โล่สถาพรพิพิธ,1,"75,543"
ตรัง,นายดำรงค์ สินไชย,2,"34,536"
ตรัง,นายเนติวิทย์ ขาวดี,3,"27,199"
ตรัง,นายชวลา สัมพันธรัตน์,4,"15,186"
ตรัง,นายถนัด ขวัญนิมิตร,5,"4,053"
ตรัง,นายพิมล ณ นคร,6,"10,596"
ตรัง,นายสมนึก บัวทอง,7,"7,240"
ตรัง,นายณรงค์ฤทธิ์ เพชรฤทธิ์,8,"2,080"
ตราด,นายบุญส่ง ไข่เกษ,1,"37,593"
ตราด,นายมงคล หวลถนอม,2,"7,458"
ตราด,นายสิงหหา สง่าศิลป์,3,"17,892"
ตาก,นายฟรีอี เละเซ็น,1,"6,396"
ตาก,พันตำรวจโทอนุรักษ์ จิรจิตร,2,"38,258"
ตาก,พลโทไกรสีห์ โสภโณดร,3,"10,362"
ตาก,พลตรีพรชัย เอี่ยมสนิทอมร,4,"7,096"
ตาก,นายชิงชัย ก่อประภากิจ,5,"74,004"
นครนายก,นายพงศ์เดช วิบูลย์ธนสาร,1,"12,995"
นครนายก,นายมารุต โรจนาปิยาวงศ์,2,"44,023"
นครนายก,นางสาวธัญธารีย์ จารุจิตติวัฒน์,3,"39,274"
นครปฐม,นายธงชัย ศรีสุขจร,1,"126,074"
นครปฐม,นายธนาวัติ เขียวรุ้งเพชร,2,"22,511"
นครปฐม,นายไพบูลย์ เสถียรปกิรณกรณ์,3,"6,256"
นครปฐม,พันตำรวจเอกมโนรถ สิทธานนท์,4,"18,510"
นครพนม,นายสมนาม เหล่าเกียรติ,1,"123,886"
นครพนม,นายวัชรินทร์ เจียวิริยบุญญา,2,"15,928"
นครพนม,นายจำลอง รัตนโกเศศ,3,"5,192"
นครพนม,นายพงษ์เสกสรร แสนสุข,4,"5,909"
นครพนม,นายโอภาส สุมนารถ,5,"99,323"
นครราชสีมา,นายพงษ์ศิริ กุสุมภ์,1,"296,221"
นครราชสีมา,นายปรีชา กำพุฒกลาง,2,"219,781"
นครราชสีมา,พลเอกวีรวุธ ส่งสาย,3,"50,006"
นครราชสีมา,นางเพ็ญศรี จารุกำเนิดกนก,4,"53,090"
นครราชสีมา,นายสุรัตน์ จุลวรวงศ์,6,"26,213"
นครศรีธรรมราช,นายมนัส เพ็งสุทธิ์,1,"63,975"
นครศรีธรรมราช,พันตำรวจเอกธรรมนูญ ไฝจู,2,"108,234"
นครศรีธรรมราช,นายสุวัฒน์ ตั้งตระกูล,3,"7,503"
นครศรีธรรมราช,นายมงคล อินทสุวรรณ์,4,"69,696"
นครศรีธรรมราช,นายอรุณ ชนะคช,5,"28,631"
นครศรีธรรมราช,นายเฉลิมศักดิ์ บุญนำ,6,"5,896"
นครศรีธรรมราช,นายณัฏฐวัฒน์ สุดประเสริฐ,7,"8,228"
นครศรีธรรมราช,พันจ่าอากาศเอกอากร ณ นคร,8,"2,952"
นครสวรรค์,เรืออากาศเอกจักวาล ตั้งภากรณ์,1,"102,300"
นครสวรรค์,นายธรรมรัฐ เนียมณรงค์,2,"14,194"
นครสวรรค์,นายบูรพา ผู้ภักดี,3,"33,322"
นครสวรรค์,นายวุฒิพงษ์ ชวนประสงค์,4,"42,713"
นครสวรรค์,นายนิกร รักษ์พุก,5,"8,184"
นครสวรรค์,นางลัดดาวัลย์ เดชเจริญรุ่งเรือง,6,"15,184"
นนทบุรี,นายจักรชัย อุ่นใจ,1,"14,626"
นนทบุรี,นายพรชัย สาเมือง,2,"15,253"
นนทบุรี,นายธนพงศ์ ธนเดชากุล,3,"82,190"
นนทบุรี,นายวรเศรษฐ์ พัชรปรีชารัตน์,4,"5,794"
นนทบุรี,นายชาลี โกมลสุทธิ์,5,"10,400"
นนทบุรี,นายวัชรพล บุษมงคล,6,"9,525"
นนทบุรี,นายยวด แก้วแดง,7,"8,846"
นนทบุรี,นางพิมพร ชูรอด,8,"21,896"
นนทบุรี,นางพรพิมล บุญนิมิตร,9,"7,737"
นนทบุรี,นายรวีโรจน์ ธนบดีธนไพศาล,10,"1,740"
นนทบุรี,นายรังสรรค์ ทองทา,11,"9,737"
นนทบุรี,นายกิตติชัย ปฏิภาณประเสริฐ,12,"6,835"
นราธิวาส,นายนิมันซูร จิยี่งอ,1,"94,779"
นราธิวาส,นายนิรันดร์ บุญบ้านเกิด,3,"14,936"
นราธิวาส,นายซูไหรี่ นิฮะ,4,"23,564"
น่าน,นายชัยวุฒิ คูอาริยะกุล,1,"59,512"
น่าน,นายศรีสุรินทร์ จำปา,2,"6,084"
น่าน,นายเสรี พิมพ์มาศ,3,"32,095"
น่าน,นายอานนท์ ตันตระกูล,4,"87,350"
บึงกาฬ,นายบุญมา พันดวง,1,"62,163"
บึงกาฬ,นายอัคเนย์ แถวบุญตา,2,"4,208"
บึงกาฬ,นายณัฐพล เนื่องชมภู,3,"68,463"
บึงกาฬ,นางกันยา แต้เจริญวิริยะกุล,4,"9,944"
บึงกาฬ,นายวิทยา บุติมุลตรี,5,"10,685"
บุรีรัมย์,นายการุณ ใสงาม,1,"99,908"
บุรีรัมย์,นายยืนยง ทิพย์โภชน์,2,"80,021"
บุรีรัมย์,นายเสริมศักดิ์ ทองศรี,3,"245,360"
ปทุมธานี,นางมาลา หาญสวัสดิ์,1,"67,040"
ปทุมธานี,พันจ่าเอกวิชัย หัสดี,2,"15,396"
ปทุมธานี,นางเอมอร ซำศิริพงษ์,3,"28,521"
ปทุมธานี,นายสุพจน์ ศรีสุวรรณ,4,"2,251"
ปทุมธานี,ว่าที่ พันตำรวจเอกประทีป เจริญกัลป์,5,"20,553"
ปทุมธานี,นายสุชาติ โสมเกษตรินทร์,6,"1,704"
ปทุมธานี,นางนิพัทธา อมรรัตนเมธา,7,"75,180"
ปทุมธานี,นางสาวอิสรา สงวนพงศ์,8,"4,195"
ปทุมธานี,นายพรหมชยารัฐ ธนัฒศิริวรรณ,10,"1,692"
ประจวบคีรีขันธ์,นายสืบยศ ใบแย้ม,1,"58,241"
ประจวบคีรีขันธ์,นายสนิท บุญก่อสกุล,2,"9,140"
ประจวบคีรีขันธ์,นายสุรศักดิ์ ดุสิตสิทธิพร,3,"9,729"
ปราจีนบุรี,นายสฤษดิ์ บุตรเนียร,1,"114,099"
ปราจีนบุรี,นายสมาน พูลสวัสดิมงคล,2,"5,763"
ปราจีนบุรี,นางไพรินทร์ จิรัฐิติเจริญ,3,"67,426"
ปราจีนบุรี,นายเดชฤทธิ์ ปัญจะมูล,4,"7,048"
ปัตตานี,นายสมหวัง อภิชัยรักษ์,1,"110,904"
ปัตตานี,พลโทมนตรี อุมารี,2,"4,765"
ปัตตานี,นายอับดุลฮามิด จะปะกียา,3,"7,081"
ปัตตานี,นางสาวเพชรดาว โต๊ะมีนา,4,"31,369"
ปัตตานี,นายประมุข ลมุล,5,"28,203"
พระนครศรีอยุธยา,นายนพดล อมรเวช,1,"62,649"
พระนครศรีอยุธยา,นายเฟื่องวิทย์ ชูตินันท์,2,"23,609"
พระนครศรีอยุธยา,นายคณิพงษ์ แขวัฒนะ,3,"64,995"
พระนครศรีอยุธยา,พลตำรวจโทไพฑูรย์ ชูชัยยะ,4,"42,074"
พะเยา,นายไพรัตน์ ตันบรรจง,1,"76,395"
พะเยา,นายเสถียร เชื้อประเสริฐศักดิ์,2,"101,632"
พังงา,นายกระจ่าง เพชรบูรณ์,1,"7,251"
พังงา,นายเนรมิตร มีเพียร,2,"9,830"
พังงา,นายอารักษ์ บุณยัษเฐียร,3,"3,089"
พังงา,นายวระชาติ ทนังผล,4,"49,684"
พังงา,นายวาณิช วัฒนกิจ,5,746
พัทลุง,นายประภาศ ปานเจี้ยง,1,"8,880"
พัทลุง,นายอภินันท์ ชูดำ,2,"16,858"
พัทลุง,นายทวี ภูมิสิงหราช,3,"115,940"
พัทลุง,พันตำรวจเอกจรงค์ ภักดีวานิช,4,"6,276"
พัทลุง,นางวรวรรณี บุญนวล,5,"4,338"
พัทลุง,นายสานันท์ สุพรรณชนะบุรี,6,"17,637"
พิจิตร,นายกิตติ์ธเนศ โภคินบุญญารัศมิ์,1,"46,192"
พิจิตร,นายวิชัย ด่านรุ่งโรจน์,2,"81,488"
พิจิตร,นายมาโนช นิลนาก,3,"3,134"
พิจิตร,นายสุรสิทธิ์ ฉัตรชัยเดช,4,"15,057"
พิจิตร,นางสาววารุณี ด่านรุ่งโรจน์,5,"3,248"
พิจิตร,นายสมเกียรติ ศรีม่วง,6,"1,399"
พิษณุโลก,นายสุรินทร์ ฐิติปุญญา,1,"150,844"
พิษณุโลก,นางเปรมฤดี ชามพูนท,2,"81,925"
พิษณุโลก,นายฐิติพงษ์ชาญ ทรัพย์เพิ่มพูนทวี,3,"5,253"
พิษณุโลก,นายสันติ ศิริสินเลิศ,4,"4,702"
พิษณุโลก,นายยอด นาคหวัง,6,"6,688"
พิษณุโลก,นายนิธิทนันท์ ก้าวศรีสุริยะธาดา,7,"7,408"
พิษณุโลก,นายสำเริง สุขรุ่งเรือง,8,850
